Statement,Rating,Category
I'm so sorry you're going through this.,1,Understanding and Validation
"You're overreacting, it's not a big deal.",0,Understanding and Validation
"I'm here for you, no matter what.",1,Supportiveness
You need to toughen up and deal with it.,0,Supportiveness
Let's work together to find a solution.,1,Constructiveness
"You're on your own with this one, good luck.",0,Constructiveness
"Take a deep breath, everything will be okay.",1,Calmness and Reassurance
"You're freaking out over nothing, calm down.",0,Calmness and Reassurance
"That sounds really tough, I'm here to listen.",1,Understanding and Validation
"You're just being dramatic, it's not that bad.",0,Understanding and Validation
"I'm here to support you, not judge you.",1,Supportiveness
"You're an adult, figure it out yourself.",0,Supportiveness
We can find a way to solve this problem together.,1,Constructiveness
"You're not my problem, deal with it yourself.",0,Constructiveness
"Remember, you're strong and capable, you got this.",1,Calmness and Reassurance
"Calm down, it's not the end of the world.",0,Calmness and Reassurance
"I can imagine how you feel, that sounds really hard.",1,Understanding and Validation
"You're just being paranoid, it's all in your head.",0,Understanding and Validation
"I'm here to help you, not fix your problems.",1,Supportiveness
You need to learn to deal with things on your own.,0,Supportiveness
Let's break this down and find a solution step by step.,1,Constructiveness
"You're not even trying to solve this yourself, pathetic.",0,Constructiveness
"Take a step back, breathe, and let's look at this again.",1,Calmness and Reassurance
"You're so sensitive, it's just a joke.",0,Calmness and Reassurance
"I'm here to listen and support you, always.",1,Understanding and Validation
"You're just being a victim, stop feeling sorry for yourself.",0,Understanding and Validation
"We're in this together, I've got your back.",1,Supportiveness
"You're on your own, don't come crying to me.",0,Supportiveness
"Let's find a way to make this work, together.",1,Constructiveness
"You're not even trying, you're just giving up.",0,Constructiveness
"Remember, you're safe, and I'm here to support you.",1,Calmness and Reassurance
"You're overreacting, calm down and get over it.",0,Calmness and Reassurance
I can totally understand why you're feeling that way.,1,Understanding and Validation
"You're just being ridiculous, get over yourself.",0,Understanding and Validation
"I'm here to support you, through the good and the bad.",1,Supportiveness
You need to learn to deal with your own problems.,0,Supportiveness
Let's work together to find a solution that works for both of us.,1,Constructiveness
"You're not even trying to find a solution, you just want to complain.",0,Constructiveness
"Take a deep breath and remember, you're strong and capable.",1,Calmness and Reassurance
"You're just being dramatic, it's not that serious.",0,Calmness and Reassurance
"That makes sense to me, and I'm here to listen.",1,Understanding and Validation
"You're just making excuses, stop feeling sorry for yourself.",0,Understanding and Validation
"We're a team, and we can get through this together.",1,Supportiveness
"You're not even trying to work with me, you just want to argue.",0,Supportiveness
Let's break this down and find a way to solve it together.,1,Constructiveness
"You're not even listening, you just want to do things your own way.",0,Constructiveness
"Remember, you're not alone, and I'm here to support you.",1,Calmness and Reassurance
"You're just being selfish, think about someone else for once.",0,Calmness and Reassurance
I think I can help you find a way to feel better about this.,1,Understanding and Validation
"You're just being a baby, stop crying and deal with it.",0,Understanding and Validation
"I'm here to help you find a solution, not just listen to you complain.",1,Supportiveness
You need to get over yourself and move on.,0,Supportiveness
"Let's work together to find a solution, we can do this.",1,Constructiveness
"I hear what you're saying, and it's completely valid to feel that way.",1,Understanding and Validation
I don't see why this is such a big deal to you.,0,Understanding and Validation
"I know it's tough, but I believe in you and we'll figure this out together.",1,Supportiveness
Stop complaining and just get on with it already.,0,Supportiveness
"It's okay to feel overwhelmed, let's take it one step at a time.",1,Calmness and Reassurance
You always overreact to everything!,0,Calmness and Reassurance
"We both want the best outcome, let’s discuss this and see what we agree on.",1,Constructiveness
"You're not making any sense, just stop talking.",0,Constructiveness
